player_id,rookie_season,error
thomaet01,2001,No tables found
alexaco02,2001,HTTP Error 429: Too Many Requests
cleavma01,2001,HTTP Error 429: Too Many Requests
collija02,2001,HTTP Error 429: Too Many Requests
turkohe01,2001,HTTP Error 429: Too Many Requests
masonde01,2001,HTTP Error 429: Too Many Requests
richaqu01,2001,HTTP Error 429: Too Many Requests
magloja01,2001,HTTP Error 429: Too Many Requests
claxtsp01,2001,HTTP Error 429: Too Many Requests
petermo01,2001,HTTP Error 429: Too Many Requests
harvedo01,2001,HTTP Error 429: Too Many Requests
stevede01,2001,HTTP Error 429: Too Many Requests
bagarda01,2001,HTTP Error 429: Too Many Requests
tsakaja01,2001,HTTP Error 429: Too Many Requests
ndiayma02,2001,HTTP Error 429: Too Many Requests
brezepr01,2001,HTTP Error 429: Too Many Requests
barkler01,2001,HTTP Error 429: Too Many Requests
madsema01,2001,HTTP Error 429: Too Many Requests
jaricma01,2001,HTTP Error 429: Too Many Requests
langhda01,2001,HTTP Error 429: Too Many Requests
guytoaj01,2001,HTTP Error 429: Too Many Requests
voskuja01,2001,HTTP Error 429: Too Many Requests
elamikh01,2001,HTTP Error 429: Too Many Requests
smithmi03,2001,HTTP Error 429: Too Many Requests
samakso01,2001,HTTP Error 429: Too Many Requests
houseed01,2001,HTTP Error 429: Too Many Requests
najered01,2001,HTTP Error 429: Too Many Requests
postela01,2001,HTTP Error 429: Too Many Requests
mottoha01,2001,HTTP Error 429: Too Many Requests
carrach01,2001,HTTP Error 429: Too Many Requests
oyedeol01,2001,HTTP Error 429: Too Many Requests
reddmi01,2001,HTTP Error 429: Too Many Requests
cardibr01,2001,HTTP Error 429: Too Many Requests
smithja01,2001,HTTP Error 429: Too Many Requests
huletde01,2001,HTTP Error 429: Too Many Requests
sesarjo01,2001,HTTP Error 429: Too Many Requests
karchma01,2001,HTTP Error 429: Too Many Requests
hartja01,2001,HTTP Error 429: Too Many Requests
dickeka01,2001,HTTP Error 429: Too Many Requests
rakocig01,2001,HTTP Error 429: Too Many Requests
browner01,2001,HTTP Error 429: Too Many Requests
mcclida01,2001,HTTP Error 429: Too Many Requests
hightco01,2001,HTTP Error 429: Too Many Requests
portech01,2001,HTTP Error 429: Too Many Requests
wallsja01,2001,HTTP Error 429: Too Many Requests
pennsc01,2001,HTTP Error 429: Too Many Requests
mickepe01,2001,HTTP Error 429: Too Many Requests
brownkw01,2002,HTTP Error 429: Too Many Requests
chandty01,2002,HTTP Error 429: Too Many Requests
gasolpa01,2002,HTTP Error 429: Too Many Requests
curryed01,2002,HTTP Error 429: Too Many Requests
richaja01,2002,HTTP Error 429: Too Many Requests
battish01,2002,HTTP Error 429: Too Many Requests
griffed01,2002,HTTP Error 429: Too Many Requests
diopde01,2002,HTTP Error 429: Too Many Requests
whitero02,2002,HTTP Error 429: Too Many Requests
johnsjo02,2002,HTTP Error 429: Too Many Requests
brownke01,2002,HTTP Error 429: Too Many Requests
radmavl01,2002,HTTP Error 429: Too Many Requests
jefferi01,2002,HTTP Error 429: Too Many Requests
murphtr01,2002,HTTP Error 429: Too Many Requests
huntest01,2002,HTTP Error 429: Too Many Requests
hastoki01,2002,HTTP Error 429: Too Many Requests
bradlmi01,2002,HTTP Error 429: Too Many Requests
collija04,2002,HTTP Error 429: Too Many Requests
randoza01,2002,HTTP Error 429: Too Many Requests
haywobr01,2002,HTTP Error 429: Too Many Requests
fortejo01,2002,HTTP Error 429: Too Many Requests
sasseje01,2002,HTTP Error 429: Too Many Requests
armstbr01,2002,HTTP Error 429: Too Many Requests
lopezra01,2002,HTTP Error 429: Too Many Requests
wallage01,2002,HTTP Error 429: Too Many Requests
dalemsa01,2002,HTTP Error 429: Too Many Requests
tinslja01,2002,HTTP Error 429: Too Many Requests
parketo01,2002,HTTP Error 429: Too Many Requests
hassetr01,2002,HTTP Error 429: Too Many Requests
arenagi01,2002,HTTP Error 429: Too Many Requests
cookom01,2002,HTTP Error 429: Too Many Requests
solomwi01,2002,HTTP Error 429: Too Many Requests
morrite01,2002,HTTP Error 429: Too Many Requests
scalabr01,2002,HTTP Error 429: Too Many Requests
trepaje01,2002,HTTP Error 429: Too Many Requests
brownda02,2002,HTTP Error 429: Too Many Requests
okurme01,2002,HTTP Error 429: Too Many Requests
wrighmi01,2002,HTTP Error 429: Too Many Requests
watsoea01,2002,HTTP Error 429: Too Many Requests
breweja01,2002,HTTP Error 429: Too Many Requests
simmobo01,2002,HTTP Error 429: Too Many Requests
chenoer01,2002,HTTP Error 429: Too Many Requests
hillky01,2002,HTTP Error 429: Too Many Requests
lamplse01,2002,HTTP Error 429: Too Many Requests
woodslo01,2002,HTTP Error 429: Too Many Requests
cisseou01,2002,HTTP Error 429: Too Many Requests
fotsian01,2002,HTTP Error 429: Too Many Requests
johnske03,2002,HTTP Error 429: Too Many Requests
boumtru01,2002,HTTP Error 429: Too Many Requests
fordal02,2002,HTTP Error 429: Too Many Requests
hutsoan01,2002,HTTP Error 429: Too Many Requests
