draft_year,player,player_id,rookie_season,minutes_used,PTS,TRB,AST,hit_cap,STL,BLK,TOV,_key,_done,_failed
2001.0,Kwame Brown,brownkw01,2002,817.0999999999998,258.0,198.0,43.0,,16.0,26.0,43.0,,,
2004.0,Royal Ivey,iveyro01,2005,813.5166666666667,220.0,84.0,103.0,,39.0,7.0,58.0,"('iveyro01', 2005)",False,False
2002.0,Melvin Ely,elyme01,2003,802.9999999999999,236.0,174.0,15.0,,10.0,32.0,50.0,,,
2006.0,David Noel,noelda01,2007,791.7500000000001,184.0,123.0,65.0,,25.0,9.0,40.0,"('noelda01', 2007)",False,False
2006.0,Mardy Collins,collima01,2007,777.0833333333335,235.0,104.0,83.0,,32.0,3.0,57.0,"('collima01', 2007)",False,False
2003.0,Mo Williams,willima01,2004,772.9499999999999,284.0,72.0,76.0,,28.0,2.0,51.0,"('willima01', 2004)",False,False
2003.0,Willie Green,greenwi01,2004,767.1166666666667,364.0,65.0,53.0,,26.0,5.0,59.0,"('greenwi01', 2004)",False,False
2004.0,David Harrison,harrida01,2005,759.9166666666665,264.0,135.0,13.0,,16.0,55.0,53.0,"('harrida01', 2005)",False,False
2002.0,Dan Gadzuric,gadzuda01,2003,759.35,169.0,197.0,9.0,,22.0,52.0,27.0,,,
2006.0,Alexander Johnson,johnsal01,2007,752.6833333333332,260.0,181.0,17.0,,25.0,35.0,47.0,"('johnsal01', 2007)",False,False
2003.0,Mickaël Piétrus,pietrmi01,2004,752.4333333333334,279.0,119.0,27.0,,32.0,12.0,40.0,"('pietrmi01', 2004)",False,False
2004.0,Rafael Araújo,araujra01,2005,735.6166666666666,196.0,185.0,16.0,,21.0,8.0,52.0,"('araujra01', 2005)",False,False
2005.0,Hakim Warrick,warriha01,2006,724.0166666666668,278.0,144.0,30.0,,14.0,21.0,56.0,"('warriha01', 2006)",False,False
2006.0,Leon Powe,powele01,2007,719.8666666666667,264.0,215.0,10.0,,14.0,22.0,47.0,"('powele01', 2007)",False,False
2003.0,Luke Walton,waltolu01,2004,718.0000000000002,174.0,127.0,113.0,,28.0,8.0,44.0,"('waltolu01', 2004)",False,False
2004.0,Jackson Vroman,vromaja01,2005,706.1000000000001,212.0,175.0,40.0,,25.0,19.0,64.0,"('vromaja01', 2005)",False,False
2002.0,Lonny Baxter,baxtelo01,2003,683.6,262.0,165.0,16.0,,9.0,22.0,46.0,,,
2006.0,Ronnie Brewer,brewero02,2007,675.0999999999997,260.0,75.0,24.0,,37.0,6.0,24.0,"('brewero02', 2007)",False,False
2006.0,Josh Boone,boonejo01,2007,668.6500000000002,254.0,176.0,10.0,,11.0,21.0,33.0,"('boonejo01', 2007)",False,False
2002.0,Chris Jefferies,jeffech01,2003,666.6166666666667,197.0,59.0,22.0,,19.0,16.0,45.0,,,
2006.0,Solomon Jones,jonesso01,2007,665.7166666666667,189.0,136.0,11.0,,11.0,42.0,25.0,"('jonesso01', 2007)",False,False
2003.0,Zaza Pachulia,pachuza01,2004,658.9333333333333,194.0,174.0,13.0,,21.0,12.0,34.0,"('pachuza01', 2004)",False,False
2002.0,Juan Dixon,dixonju01,2003,648.5166666666667,270.0,72.0,40.0,,26.0,3.0,42.0,,,
2000.0,Mark Madsen,madsema01,2001,636.9333333333333,137.0,152.0,24.0,,8.0,8.0,27.0,,,
2006.0,Hilton Armstrong,armsthi01,2007,634.15,176.0,149.0,10.0,,12.0,26.0,35.0,"('armsthi01', 2007)",False,False
2000.0,A.J. Guyton,guytoaj01,2001,628.55,198.0,36.0,64.0,,9.0,5.0,24.0,,,
2006.0,JJ Redick,redicjj01,2007,622.4000000000001,252.0,52.0,36.0,,12.0,0.0,21.0,"('redicjj01', 2007)",False,False
2003.0,Žarko Čabarkapa,cabarza01,2004,574.5833333333335,203.0,99.0,40.0,,10.0,13.0,54.0,"('cabarza01', 2004)",False,False
2001.0,Kenny Satterfield,satteke01,2002,559.8666666666668,189.0,52.0,108.0,,31.0,1.0,53.0,,,
2006.0,Shawne Williams,willish03,2007,556.2666666666667,180.0,83.0,22.0,,6.0,8.0,24.0,"('willish03', 2007)",False,False
2000.0,Eddie House,houseed01,2001,544.8333333333333,251.0,42.0,52.0,,13.0,0.0,35.0,,,
2006.0,Cedric Simmons,simmoce01,2007,533.9333333333333,126.0,107.0,12.0,,8.0,23.0,22.0,"('simmoce01', 2007)",False,False
2004.0,Viktor Khryapa,khryavi01,2005,529.0666666666667,135.0,108.0,25.0,,20.0,18.0,33.0,"('khryavi01', 2005)",False,False
2005.0,Linas Kleiza,kleizli01,2006,518.9333333333334,213.0,116.0,15.0,,10.0,13.0,16.0,"('kleizli01', 2006)",False,False
2002.0,Dan Dickau,dickada01,2003,518.1333333333332,183.0,43.0,85.0,,14.0,2.0,53.0,,,
2001.0,Loren Woods,woodslo01,2002,515.7666666666667,110.0,122.0,22.0,,17.0,34.0,36.0,,,
2001.0,Steven Hunter,huntest01,2002,514.0166666666667,189.0,97.0,5.0,,5.0,43.0,16.0,,,
2003.0,Travis Hansen,hansetr01,2004,509.53333333333336,123.0,70.0,19.0,,10.0,9.0,15.0,"('hansetr01', 2004)",False,False
2004.0,Delonte West,westde01,2005,504.55,175.0,65.0,53.0,,21.0,8.0,24.0,"('westde01', 2005)",False,False
2003.0,Mike Sweetney,sweetmi01,2004,496.71666666666675,180.0,157.0,14.0,,18.0,12.0,32.0,"('sweetmi01', 2004)",False,False
2006.0,Hassan Adams,adamsha01,2007,495.4499999999998,174.0,77.0,13.0,,17.0,4.0,22.0,"('adamsha01', 2007)",False,False
2002.0,John Salmons,salmojo01,2003,495.1666666666667,132.0,59.0,47.0,,17.0,6.0,29.0,,,
2002.0,Chris Wilcox,wilcoch01,2003,479.7333333333334,171.0,104.0,21.0,,7.0,12.0,26.0,,,
2003.0,Zoran Planinić,planizo01,2004,467.03333333333336,153.0,55.0,68.0,,13.0,3.0,36.0,"('planizo01', 2004)",False,False
2004.0,Kevin Martin,martike02,2005,458.1500000000001,131.0,58.0,22.0,False,,,,,,
2001.0,Alton Ford,fordal02,2002,449.6666666666668,164.0,107.0,7.0,,6.0,7.0,32.0,,,
2006.0,Dee Brown,brownde03,2007,449.5666666666666,94.0,40.0,83.0,,22.0,7.0,31.0,"('brownde03', 2007)",False,False
2002.0,Ryan Humphrey,humphry01,2003,443.3,93.0,99.0,11.0,,9.0,18.0,23.0,,,
2002.0,Marcus Haislip,haislma01,2003,441.3500000000001,161.0,53.0,9.0,,7.0,18.0,21.0,,,
2003.0,Brian Cook,cookbr01,2004,437.7999999999999,155.0,101.0,20.0,,16.0,16.0,17.0,"('cookbr01', 2004)",False,False
2004.0,Matt Freije,freijma01,2005,436.96666666666664,93.0,61.0,20.0,,13.0,2.0,17.0,"('freijma01', 2005)",False,False
2002.0,Tayshaun Prince,princta01,2003,435.44999999999993,137.0,45.0,24.0,,10.0,14.0,21.0,,,
2004.0,Donta Smith,smithdo04,2005,433.63333333333327,127.0,52.0,39.0,,23.0,5.0,25.0,"('smithdo04', 2005)",False,False
2000.0,Eduardo Nájera,najered01,2001,432.61666666666673,131.0,95.0,27.0,,13.0,8.0,17.0,,,
2001.0,Gerald Wallace,wallage01,2002,431.7333333333335,173.0,89.0,27.0,,19.0,6.0,22.0,,,
2004.0,Lionel Chalmers,chalmli01,2005,424.36666666666673,111.0,31.0,51.0,,13.0,0.0,24.0,"('chalmli01', 2005)",False,False
2003.0,Jason Kapono,kaponja01,2004,423.35,145.0,55.0,14.0,,13.0,2.0,21.0,"('kaponja01', 2004)",False,False
2005.0,Wayne Simien,simiewa01,2006,414.2666666666668,146.0,88.0,7.0,,13.0,1.0,24.0,"('simiewa01', 2006)",False,False
2003.0,Brandon Hunter,huntebr01,2004,404.83333333333337,125.0,118.0,19.0,,13.0,1.0,22.0,"('huntebr01', 2004)",False,False
2004.0,Sasha Vujačić,vujacsa01,2005,402.4333333333333,101.0,62.0,51.0,,12.0,2.0,15.0,"('vujacsa01', 2005)",False,False
2005.0,Sean May,mayse01,2006,398.4166666666667,189.0,109.0,22.0,,17.0,12.0,33.0,"('mayse01', 2006)",False,False
2004.0,Andris Biedriņš,biedran01,2005,382.3,109.0,118.0,12.0,,12.0,24.0,12.0,"('biedran01', 2005)",False,False
2005.0,Gerald Green,greenge01,2006,373.7166666666667,167.0,41.0,18.0,,13.0,4.0,22.0,"('greenge01', 2006)",False,False
2005.0,Antoine Wright,wrighan01,2006,370.2166666666666,70.0,30.0,12.0,,4.0,3.0,21.0,"('wrighan01', 2006)",False,False
2006.0,Quincy Douby,doubyqu01,2007,359.1833333333334,119.0,37.0,15.0,,15.0,4.0,15.0,"('doubyqu01', 2007)",False,False
