draft_year,player,player_id,rookie_season
2013,Anthony Bennett,bennean01,2014
2013,Victor Oladipo,oladivi01,2014
2013,Otto Porter Jr.,porteot01,2014
2013,Cody Zeller,zelleco01,2014
2013,Alex Len,lenal01,2014
2013,Nerlens Noel,noelne01,2014
2013,Ben McLemore,mclembe01,2014
2013,Kentavious Caldwell-Pope,caldwke01,2014
2013,Trey Burke,burketr01,2014
2013,CJ McCollum,mccolcj01,2014
2013,Michael Carter-Williams,cartemi01,2014
2013,Steven Adams,adamsst01,2014
2013,Kelly Olynyk,olynyke01,2014
2013,Shabazz Muhammad,muhamsh01,2014
2013,Giannis Antetokounmpo,antetgi01,2014
2013,Lucas Nogueira,noguelu01,2014
2013,Dennis Schröder,schrode01,2014
2013,Shane Larkin,larkish01,2014
2013,Sergey Karasev,karasse01,2014
2013,Tony Snell,snellto01,2014
2013,Gorgui Dieng,dienggo01,2014
2013,Mason Plumlee,plumlma01,2014
2013,Solomon Hill,hillso01,2014
2013,Tim Hardaway Jr.,hardati02,2014
2013,Reggie Bullock,bullore01,2014
2013,Andre Roberson,roberan03,2014
2013,Rudy Gobert,goberru01,2014
2013,Livio Jean-Charles,jeancli01,2014
2013,Archie Goodwin,goodwar01,2014
2013,Nemanja Nedović,nedovne01,2014
2013,Allen Crabbe,crabbal01,2014
2013,Álex Abrines,abrinal01,2014
2013,Carrick Felix,felixca01,2014
2013,Isaiah Canaan,canaais01,2014
2013,Glen Rice Jr.,ricegl02,2014
2013,Ray McCallum,mccalra01,2014
2013,Tony Mitchell,mitchto02,2014
2013,Nate Wolters,woltena01,2014
2013,Jeff Withey,witheje01,2014
2013,Grant Jerrett,jerregr01,2014
2013,Jamaal Franklin,frankja01,2014
2013,Pierre Jackson,jackspi01,2014
2013,Ricky Ledo,ledori01,2014
2013,Mike Muscala,muscami01,2014
2013,Marko Todorović,todorma01,2014
2013,Erick Green,greener01,2014
2013,Raul Neto,netora01,2014
2013,Ryan Kelly,kellyry01,2014
2013,Erik Murphy,murpher01,2014
2013,James Ennis III,ennisja01,2014
2013,Romero Osby,osbyro01,2014
2013,Lorenzo Brown,brownlo01,2014
2013,Colton Iverson,iversco01,2014
2013,Arsalan Kazemi,kazemar01,2014
2013,Joffrey Lauvergne,lauvejo01,2014
2013,Peyton Siva,sivape01,2014
2013,Alex Oriakhi,oriakal01,2014
2013,Deshaun Thomas,thomade01,2014
2013,Bojan Dubljević,dubljbo01,2014
2013,Jānis Timma,timmaja01,2014
