draft_year,player,player_id,rookie_season
2015,Karl-Anthony Towns,townska01,2016
2015,D'Angelo Russell,russeda01,2016
2015,Jahlil Okafor,okafoja01,2016
2015,Kristaps Porziņģis,porzikr01,2016
2015,Mario Hezonja,hezonma01,2016
2015,Willie Cauley-Stein,caulewi01,2016
2015,Emmanuel Mudiay,mudiaem01,2016
2015,Stanley Johnson,johnsst04,2016
2015,Frank Kaminsky,kaminfr01,2016
2015,Justise Winslow,winslju01,2016
2015,Myles Turner,turnemy01,2016
2015,Trey Lyles,lylestr01,2016
2015,Devin Booker,bookede01,2016
2015,Cameron Payne,payneca01,2016
2015,Kelly Oubre Jr.,oubreke01,2016
2015,Terry Rozier,roziete01,2016
2015,Rashad Vaughn,vaughra01,2016
2015,Sam Dekker,dekkesa01,2016
2015,Jerian Grant,grantje02,2016
2015,Delon Wright,wrighde01,2016
2015,Justin Anderson,anderju01,2016
2015,Bobby Portis,portibo01,2016
2015,Rondae Hollis-Jefferson,holliro01,2016
2015,Tyus Jones,jonesty01,2016
2015,Jarell Martin,martija01,2016
2015,Nikola Milutinov,milutni01,2016
2015,Larry Nance Jr.,nancela02,2016
2015,R.J. Hunter,hunterj01,2016
2015,Chris McCullough,mcculch01,2016
2015,Kevon Looney,looneke01,2016
2015,Cedi Osman,osmande01,2016
2015,Montrezl Harrell,harremo01,2016
2015,Jordan Mickey,mickejo01,2016
2015,Anthony Brown,brownan02,2016
2015,Willy Hernangómez,hernawi01,2016
2015,Rakeem Christmas,chrisra01,2016
2015,Richaun Holmes,holmeri01,2016
2015,Darrun Hilliard,hillida01,2016
2015,Juan Pablo Vaulet,vauleju01,2016
2015,Josh Richardson,richajo01,2016
2015,Pat Connaughton,connapa01,2016
2015,Olivier Hanlan,hanlaol01,2016
2015,Joe Young,youngjo01,2016
2015,Andrew Harrison,harrian01,2016
2015,Marcus Thornton,thornma02,2016
2015,Norman Powell,powelno01,2016
2015,Artūras Gudaitis,gudaiar01,2016
2015,Dakari Johnson,johnsda04,2016
2015,Aaron White,whiteaa01,2016
2015,Marcus Eriksson,eriksma01,2016
2015,Tyler Harvey,harvety01,2016
2015,Satnam Singh,singhsa01,2016
2015,Sir'Dominic Pointer,pointsi01,2016
2015,Dani Díez,diezda01,2016
2015,Cady Lalanne,lalanca01,2016
2015,Branden Dawson,dawsobr01,2016
2015,Nikola Radičević,radicni01,2016
2015,J.P. Tokoto,tokotjp01,2016
2015,Dimitrios Agravanis,agravdi01,2016
2015,Luka Mitrović,mitrolu01,2016
