draft_year,player,player_id,rookie_season
2004,Dwight Howard,howardw01,2005
2004,Emeka Okafor,okafoem01,2005
2004,Ben Gordon,gordobe01,2005
2004,Shaun Livingston,livinsh01,2005
2004,Devin Harris,harride01,2005
2004,Josh Childress,childjo01,2005
2004,Luol Deng,denglu01,2005
2004,Rafael Araújo,araujra01,2005
2004,Andre Iguodala,iguodan01,2005
2004,Luke Jackson,jackslu02,2005
2004,Andris Biedriņš,biedran01,2005
2004,Robert Swift,swiftro01,2005
2004,Sebastian Telfair,telfase01,2005
2004,Kris Humphries,humphkr01,2005
2004,Al Jefferson,jeffeal01,2005
2004,Kirk Snyder,snydeki01,2005
2004,Josh Smith,smithjo03,2005
2004,J.R. Smith,smithjr01,2005
2004,Dorell Wright,wrighdo01,2005
2004,Jameer Nelson,nelsoja01,2005
2004,Pavel Podkolzin,podkopa01,2005
2004,Viktor Khryapa,khryavi01,2005
2004,Sergei Monia,moniase01,2005
2004,Delonte West,westde01,2005
2004,Tony Allen,allento01,2005
2004,Kevin Martin,martike02,2005
2004,Sasha Vujačić,vujacsa01,2005
2004,Beno Udrih,udrihbe01,2005
2004,David Harrison,harrida01,2005
2004,Round 2,,2005
2004,Player,,2005
2004,Anderson Varejão,varejan01,2005
2004,Jackson Vroman,vromaja01,2005
2004,Peter John Ramos,ramospe01,2005
2004,Lionel Chalmers,chalmli01,2005
2004,Donta Smith,smithdo04,2005
2004,Andre Emmett,emmetan01,2005
2004,Antonio Burks,burksan01,2005
2004,Royal Ivey,iveyro01,2005
2004,Chris Duhon,duhonch01,2005
2004,Albert Miralles,miralal01,2005
2004,Justin Reed,reedju01,2005
2004,David Young,youngda02,2005
2004,Viktor Sanikidze,sanikvi01,2005
2004,Trevor Ariza,arizatr01,2005
2004,Tim Pickett,picketi02,2005
2004,Bernard Robinson,robinbe01,2005
2004,Ha Seung-Jin,seungha01,2005
2004,Pape Sow,sowpa01,2005
2004,Ricky Minard,minarri01,2005
2004,Sergei Lishouk,lishcse01,2005
2004,Vassilis Spanoulis,spanova01,2005
2004,Christian Drejer,drejech01,2005
2004,Romain Sato,satoro01,2005
2004,Matt Freije,freijma01,2005
2004,Rickey Paulding,pauldri01,2005
2004,Luis Flores,florelu01,2005
2004,Marcus Douthit,douthma01,2005
2004,Sergei Karaulov,karause01,2005
2004,Blake Stepp,steppbl01,2005
2004,Rashad Wright,wrighra01,2005
