draft_year,player,player_id,rookie_season
2010,John Wall,walljo01,2011
2010,Evan Turner,turneev01,2011
2010,Derrick Favors,favorde01,2011
2010,Wesley Johnson,johnswe01,2011
2010,DeMarcus Cousins,couside01,2011
2010,Ekpe Udoh,udohek01,2011
2010,Greg Monroe,monrogr01,2011
2010,Al-Farouq Aminu,aminual01,2011
2010,Gordon Hayward,haywago01,2011
2010,Paul George,georgpa01,2011
2010,Cole Aldrich,aldrico01,2011
2010,Xavier Henry,henryxa01,2011
2010,Ed Davis,davised01,2011
2010,Patrick Patterson,pattepa01,2011
2010,Larry Sanders,sandela01,2011
2010,Luke Babbitt,babbilu01,2011
2010,Kevin Séraphin,serapke01,2011
2010,Eric Bledsoe,bledser01,2011
2010,Avery Bradley,bradlav01,2011
2010,James Anderson,anderja01,2011
2010,Craig Brackins,brackcr01,2011
2010,Elliot Williams,williel01,2011
2010,Trevor Booker,booketr01,2011
2010,Damion James,jamesda01,2011
2010,Dominique Jones,jonesdo02,2011
2010,Quincy Pondexter,pondequ01,2011
2010,Jordan Crawford,crawfjo02,2011
2010,Greivis Vásquez,vasqugr01,2011
2010,Daniel Orton,ortonda01,2011
2010,Lazar Hayward,haywala01,2011
2010,Tibor Pleiß,pleisti01,2011
2010,Dexter Pittman,pittmde01,2011
2010,Hassan Whiteside,whiteha01,2011
2010,Armon Johnson,johnsar02,2011
2010,Nemanja Bjelica,bjeline01,2011
2010,Terrico White,whitete01,2011
2010,Darington Hobson,hobsoda01,2011
2010,Andy Rautins,rautian01,2011
2010,Landry Fields,fieldla01,2011
2010,Lance Stephenson,stephla01,2011
2010,Jarvis Varnado,varnaja01,2011
2010,Da'Sean Butler,butleda03,2011
2010,Devin Ebanks,ebankde01,2011
2010,Jerome Jordan,jordaje01,2011
2010,Paulão Prestes,prestpa01,2011
2010,Gani Lawal,lawalga01,2011
2010,Tiny Gallon,galloti01,2011
2010,Latavious Williams,willila01,2011
2010,Ryan Richards,richary01,2011
2010,Solomon Alabi,alabiso01,2011
2010,Magnum Rolle,rollema01,2011
2010,Luke Harangody,haranlu01,2011
2010,Pape Sy,sypa01,2011
2010,Willie Warren,warrewi01,2011
2010,Jeremy Evans,evansje01,2011
2010,Hamady N'Diaye,ndiayha01,2011
2010,Ryan Reid,reidry01,2011
2010,Derrick Caracter,caracde01,2011
2010,Stanley Robinson,robinst01,2011
2010,Dwayne Collins,collidw01,2011
