draft_year,player,player_id,rookie_season
2011,Kyrie Irving,irvinky01,2012
2011,Derrick Williams,willide02,2012
2011,Enes Freedom,kanteen01,2012
2011,Tristan Thompson,thomptr01,2012
2011,Jonas Valančiūnas,valanjo01,2012
2011,Jan Veselý,veselja01,2012
2011,Bismack Biyombo,biyombi01,2012
2011,Brandon Knight,knighbr03,2012
2011,Kemba Walker,walkeke02,2012
2011,Jimmer Fredette,fredeji01,2012
2011,Klay Thompson,thompkl01,2012
2011,Alec Burks,burksal01,2012
2011,Markieff Morris,morrima02,2012
2011,Marcus Morris,morrima03,2012
2011,Kawhi Leonard,leonaka01,2012
2011,Nikola Vučević,vucevni01,2012
2011,Iman Shumpert,shumpim01,2012
2011,Chris Singleton,singlch01,2012
2011,Tobias Harris,harrito02,2012
2011,Donatas Motiejūnas,motiedo01,2012
2011,Nolan Smith,smithno01,2012
2011,Kenneth Faried,farieke01,2012
2011,Nikola Mirotić,mirotni01,2012
2011,Reggie Jackson,jacksre01,2012
2011,MarShon Brooks,brookma01,2012
2011,Jordan Hamilton,hamiljo02,2012
2011,JaJuan Johnson,johnsja02,2012
2011,Norris Cole,coleno01,2012
2011,Cory Joseph,josepco01,2012
2011,Jimmy Butler,butleji01,2012
2011,Bojan Bogdanović,bogdabo02,2012
2011,Justin Harper,harpeju01,2012
2011,Kyle Singler,singlky01,2012
2011,Shelvin Mack,macksh01,2012
2011,Tyler Honeycutt,honeyty01,2012
2011,Jordan Williams,willijo03,2012
2011,Trey Thompkins,thomptr02,2012
2011,Chandler Parsons,parsoch01,2012
2011,Jeremy Tyler,tylerje01,2012
2011,Jon Leuer,leuerjo01,2012
2011,Darius Morris,morrida01,2012
2011,Dāvis Bertāns,bertada01,2012
2011,Malcolm Lee,leema01,2012
2011,Charles Jenkins,jenkich01,2012
2011,Josh Harrellson,harrejo01,2012
2011,Andrew Goudelock,goudean01,2012
2011,Travis Leslie,leslitr01,2012
2011,Keith Benson,bensoke02,2012
2011,Josh Selby,selbyjo01,2012
2011,Lavoy Allen,allenla01,2012
2011,Jon Diebler,diebljo01,2012
2011,Vernon Macklin,macklve01,2012
2011,DeAndre Liggins,liggide01,2012
2011,Milan Mačvan,macvami01,2012
2011,E'Twaun Moore,mooreet01,2012
2011,Chukwudiebere Maduabum,maduach01,2012
2011,Tanguy Ngombo,ngombta01,2012
2011,Ater Majok,majokat01,2012
2011,Ádám Hanga,hangaad01,2012
2011,Isaiah Thomas,thomais02,2012
