draft_year,player,player_id,rookie_season
2017,Markelle Fultz,fultzma01,2018
2017,Lonzo Ball,balllo01,2018
2017,Jayson Tatum,tatumja01,2018
2017,Josh Jackson,jacksjo02,2018
2017,De'Aaron Fox,foxde01,2018
2017,Jonathan Isaac,isaacjo01,2018
2017,Lauri Markkanen,markkla01,2018
2017,Frank Ntilikina,ntilila01,2018
2017,Dennis Smith Jr.,smithde03,2018
2017,Zach Collins,colliza01,2018
2017,Malik Monk,monkma01,2018
2017,Luke Kennard,kennalu01,2018
2017,Donovan Mitchell,mitchdo01,2018
2017,Bam Adebayo,adebaba01,2018
2017,Justin Jackson,jacksju01,2018
2017,Justin Patton,pattoju01,2018
2017,D.J. Wilson,wilsodj01,2018
2017,T.J. Leaf,leaftj01,2018
2017,John Collins,collijo01,2018
2017,Harry Giles,gilesha01,2018
2017,Terrance Ferguson,fergute01,2018
2017,Jarrett Allen,allenja01,2018
2017,OG Anunoby,anunoog01,2018
2017,Tyler Lydon,lydonty01,2018
2017,Anžejs Pasečņiks,pasecan01,2018
2017,Caleb Swanigan,swanica01,2018
2017,Kyle Kuzma,kuzmaky01,2018
2017,Tony Bradley,bradlto01,2018
2017,Derrick White,whitede01,2018
2017,Josh Hart,hartjo01,2018
2017,Frank Jackson,jacksfr01,2018
2017,Davon Reed,reedda01,2018
2017,Wes Iwundu,iwundwe01,2018
2017,Frank Mason III,masonfr01,2018
2017,Ivan Rabb,rabbiv01,2018
2017,Jonah Bolden,boldejo01,2018
2017,Semi Ojeleye,ojelese01,2018
2017,Jordan Bell,belljo01,2018
2017,Jawun Evans,evansja01,2018
2017,Dwayne Bacon,bacondw01,2018
2017,Tyler Dorsey,dorsety01,2018
2017,Thomas Bryant,bryanth01,2018
2017,Isaiah Hartenstein,harteis01,2018
2017,Damyean Dotson,dotsoda01,2018
2017,Dillon Brooks,brookdi01,2018
2017,Sterling Brown,brownst02,2018
2017,Ike Anigbogu,anigbik01,2018
2017,Sindarius Thornwell,thornsi01,2018
2017,Vlatko Čančar,cancavl01,2018
2017,Mathias Lessort,lessoma01,2018
2017,Monte Morris,morrimo01,2018
2017,Edmond Sumner,sumneed01,2018
2017,Kadeem Allen,allenka01,2018
2017,Alec Peters,peteral01,2018
2017,Nigel Williams-Goss,willini01,2018
2017,Jabari Bird,birdja01,2018
2017,Sasha Vezenkov,vezenal01,2018
2017,Ognjen Jaramaz,jaramog01,2018
2017,Jaron Blossomgame,blossja01,2018
2017,Alpha Kaba,kabaal01,2018
