draft_year,player,player_id,rookie_season
2019,Zion Williamson,willizi01,2020
2019,Ja Morant,moranja01,2020
2019,RJ Barrett,barrerj01,2020
2019,De'Andre Hunter,huntede01,2020
2019,Darius Garland,garlada01,2020
2019,Jarrett Culver,culveja01,2020
2019,Coby White,whiteco01,2020
2019,Jaxson Hayes,hayesja02,2020
2019,Rui Hachimura,hachiru01,2020
2019,Cam Reddish,reddica01,2020
2019,Cameron Johnson,johnsca02,2020
2019,P.J. Washington,washipj01,2020
2019,Tyler Herro,herroty01,2020
2019,Romeo Langford,langfro01,2020
2019,Sekou Doumbouya,doumbse01,2020
2019,Chuma Okeke,okekech01,2020
2019,Nickeil Alexander-Walker,alexani01,2020
2019,Goga Bitadze,bitadgo01,2020
2019,Luka Šamanić,samanlu01,2020
2019,Matisse Thybulle,thybuma01,2020
2019,Brandon Clarke,clarkbr01,2020
2019,Grant Williams,willigr01,2020
2019,Darius Bazley,bazleda01,2020
2019,Ty Jerome,jeromty01,2020
2019,Nassir Little,littlna01,2020
2019,Dylan Windler,windldy01,2020
2019,Mfiondu Kabengele,kabenmf01,2020
2019,Jordan Poole,poolejo01,2020
2019,Keldon Johnson,johnske04,2020
2019,Kevin Porter Jr.,porteke02,2020
2019,Nic Claxton,claxtni01,2020
2019,KZ Okpala,okpalkz01,2020
2019,Carsen Edwards,edwarca01,2020
2019,Bruno Fernando,fernabr01,2020
2019,Didi Louzada,louzama01,2020
2019,Cody Martin,martico01,2020
2019,Deividas Sirvydis,sirvyde01,2020
2019,Daniel Gafford,gaffoda01,2020
2019,Alen Smailagić,smailal01,2020
2019,Justin James,jamesju01,2020
2019,Eric Paschall,pascher01,2020
2019,Admiral Schofield,schofad01,2020
2019,Jaylen Nowell,nowelja01,2020
2019,Bol Bol,bolbo01,2020
2019,Isaiah Roby,robyis01,2020
2019,Talen Horton-Tucker,hortota01,2020
2019,Ignas Brazdeikis,brazdig01,2020
2019,Terance Mann,mannte01,2020
2019,Quinndary Weatherspoon,weathqu01,2020
2019,Jarrell Brantley,brantja01,2020
2019,Tremont Waters,watertr01,2020
2019,Jalen McDaniels,mcdanja01,2020
2019,Justin Wright-Foreman,wrighju02,2020
2019,Marial Shayok,shayoma01,2020
2019,Kyle Guy,guyky01,2020
2019,Jaylen Hands,handsja01,2020
2019,Jordan Bone,bonejo01,2020
2019,Miye Oni,onimi01,2020
2019,Dewan Hernandez,hernade01,2020
2019,Vanja Marinković,marinva01,2020
