draft_year,player,player_id,rookie_season
2001,Kwame Brown,brownkw01,2002
2001,Tyson Chandler,chandty01,2002
2001,Pau Gasol,gasolpa01,2002
2001,Eddy Curry,curryed01,2002
2001,Jason Richardson,richaja01,2002
2001,Shane Battier,battish01,2002
2001,Eddie Griffin,griffed01,2002
2001,DeSagana Diop,diopde01,2002
2001,Rodney White,whitero02,2002
2001,Joe Johnson,johnsjo02,2002
2001,Kedrick Brown,brownke01,2002
2001,Vladimir Radmanović,radmavl01,2002
2001,Richard Jefferson,jefferi01,2002
2001,Troy Murphy,murphtr01,2002
2001,Steven Hunter,huntest01,2002
2001,Kirk Haston,hastoki01,2002
2001,Michael Bradley,bradlmi01,2002
2001,Jason Collins,collija04,2002
2001,Zach Randolph,randoza01,2002
2001,Brendan Haywood,haywobr01,2002
2001,Joseph Forte,fortejo01,2002
2001,Jeryl Sasser,sasseje01,2002
2001,Brandon Armstrong,armstbr01,2002
2001,Raül López,lopezra01,2002
2001,Gerald Wallace,wallage01,2002
2001,Samuel Dalembert,dalemsa01,2002
2001,Jamaal Tinsley,tinslja01,2002
2001,Tony Parker,parketo01,2002
2001,Trenton Hassell,hassetr01,2002
2001,Gilbert Arenas,arenagi01,2002
2001,Omar Cook,cookom01,2002
2001,Will Solomon,solomwi01,2002
2001,Terence Morris,morrite01,2002
2001,Brian Scalabrine,scalabr01,2002
2001,Jeff Trepagnier,trepaje01,2002
2001,Damone Brown,brownda02,2002
2001,Mehmet Okur,okurme01,2002
2001,Michael Wright,wrighmi01,2002
2001,Earl Watson,watsoea01,2002
2001,Jamison Brewer,breweja01,2002
2001,Bobby Simmons,simmobo01,2002
2001,Eric Chenowith,chenoer01,2002
2001,Kyle Hill,hillky01,2002
2001,Sean Lampley,lamplse01,2002
2001,Loren Woods,woodslo01,2002
2001,Ousmane Cisse,cisseou01,2002
2001,Antonis Fotsis,fotsian01,2002
2001,Ken Johnson,johnske03,2002
2001,Ruben Boumtje-Boumtje,boumtru01,2002
2001,Alton Ford,fordal02,2002
2001,Andre Hutson,hutsoan01,2002
2001,Jarron Collins,collija03,2002
2001,Kenny Satterfield,satteke01,2002
2001,Maurice Jeffers,jeffema01,2002
2001,Robertas Javtokas,javtoro01,2002
2001,Alvin Jones,jonesal01,2002
2001,Bryan Bracey,bracebr01,2002
