draft_year,player,player_id,rookie_season
2012,Anthony Davis,davisan02,2013
2012,Michael Kidd-Gilchrist,kiddgmi01,2013
2012,Bradley Beal,bealbr01,2013
2012,Dion Waiters,waitedi01,2013
2012,Thomas Robinson,robinth01,2013
2012,Damian Lillard,lillada01,2013
2012,Harrison Barnes,barneha02,2013
2012,Terrence Ross,rosste01,2013
2012,Andre Drummond,drumman01,2013
2012,Austin Rivers,riverau01,2013
2012,Meyers Leonard,leoname01,2013
2012,Jeremy Lamb,lambje01,2013
2012,Kendall Marshall,marshke01,2013
2012,John Henson,hensojo01,2013
2012,Maurice Harkless,harklma01,2013
2012,Royce White,whitero03,2013
2012,Tyler Zeller,zellety01,2013
2012,Terrence Jones,joneste01,2013
2012,Andrew Nicholson,nichoan01,2013
2012,Evan Fournier,fournev01,2013
2012,Jared Sullinger,sullija01,2013
2012,Fab Melo,melofa01,2013
2012,John Jenkins,jenkijo01,2013
2012,Jared Cunningham,cunnija01,2013
2012,Tony Wroten,wroteto01,2013
2012,Miles Plumlee,plumlmi01,2013
2012,Arnett Moultrie,moultar01,2013
2012,Perry Jones,jonespe01,2013
2012,Marquis Teague,teaguma01,2013
2012,Festus Ezeli,ezelife01,2013
2012,Jeff Taylor,tayloje03,2013
2012,Tomáš Satoranský,satorto01,2013
2012,Bernard James,jamesbe01,2013
2012,Jae Crowder,crowdja01,2013
2012,Draymond Green,greendr01,2013
2012,Orlando Johnson,johnsor01,2013
2012,Quincy Acy,acyqu01,2013
2012,Quincy Miller,millequ01,2013
2012,Khris Middleton,middlkh01,2013
2012,Will Barton,bartowi01,2013
2012,Tyshawn Taylor,tayloty01,2013
2012,Doron Lamb,lambdo01,2013
2012,Mike Scott,scottmi01,2013
2012,Kim English,engliki01,2013
2012,Justin Hamilton,hamilju01,2013
2012,Darius Miller,milleda01,2013
2012,Kevin Murphy,murphke01,2013
2012,Kostas Papanikolaou,papanko01,2013
2012,Kyle O'Quinn,oquinky01,2013
2012,İzzet Türkyılmaz,turkyiz01,2013
2012,Kris Joseph,josepkr01,2013
2012,Ognjen Kuzmić,kuzmiog01,2013
2012,Furkan Aldemir,aldemfu01,2013
2012,Tornike Shengelia,shengto01,2013
2012,Darius Johnson-Odom,johnsda03,2013
2012,Tomislav Zubčić,zubcito01,2013
2012,İlkan Karaman,karamil01,2013
2012,Robbie Hummel,hummero01,2013
2012,Marcus Denmon,denmoma01,2013
2012,Robert Sacre,sacrero01,2013
