draft_year,player,player_id,rookie_season
2014,Andrew Wiggins,wiggian01,2015
2014,Jabari Parker,parkeja01,2015
2014,Joel Embiid,embiijo01,2015
2014,Aaron Gordon,gordoaa01,2015
2014,Dante Exum,exumda01,2015
2014,Marcus Smart,smartma01,2015
2014,Julius Randle,randlju01,2015
2014,Nik Stauskas,stausni01,2015
2014,Noah Vonleh,vonleno01,2015
2014,Elfrid Payton,paytoel01,2015
2014,Doug McDermott,mcderdo01,2015
2014,Dario Šarić,saricda01,2015
2014,Zach LaVine,lavinza01,2015
2014,T.J. Warren,warretj01,2015
2014,Adreian Payne,paynead01,2015
2014,Jusuf Nurkić,nurkiju01,2015
2014,James Young,youngja01,2015
2014,Tyler Ennis,ennisty01,2015
2014,Gary Harris,harriga01,2015
2014,Bruno Caboclo,cabocbr01,2015
2014,Mitch McGary,mcgarmi01,2015
2014,Jordan Adams,adamsjo01,2015
2014,Rodney Hood,hoodro01,2015
2014,Shabazz Napier,napiesh01,2015
2014,Clint Capela,capelca01,2015
2014,P.J. Hairston,hairspj02,2015
2014,Bogdan Bogdanović,bogdabo01,2015
2014,C.J. Wilcox,wilcocj01,2015
2014,Josh Huestis,huestjo01,2015
2014,Kyle Anderson,anderky01,2015
2014,Damien Inglis,inglida01,2015
2014,K.J. McDaniels,mcdankj01,2015
2014,Joe Harris,harrijo01,2015
2014,Cleanthony Early,earlycl01,2015
2014,Jarnell Stokes,stokeja01,2015
2014,Johnny O'Bryant,obryajo01,2015
2014,DeAndre Daniels,daniede01,2015
2014,Spencer Dinwiddie,dinwisp01,2015
2014,Jerami Grant,grantje01,2015
2014,Glenn Robinson III,robingl02,2015
2014,Nikola Jokić,jokicni01,2015
2014,Nick Johnson,johnsni01,2015
2014,Edy Tavares,tavarwa01,2015
2014,Markel Brown,brownma02,2015
2014,Dwight Powell,poweldw01,2015
2014,Jordan Clarkson,clarkjo01,2015
2014,Russ Smith,smithru01,2015
2014,Lamar Patterson,pattela01,2015
2014,Cameron Bairstow,bairsca01,2015
2014,Alec Brown,brownal01,2015
2014,Thanasis Antetokounmpo,antetth01,2015
2014,Vasilije Micić,micicva01,2015
2014,Alessandro Gentile,gential01,2015
2014,Nemanja Dangubić,dangune01,2015
2014,Semaj Christon,chrisse01,2015
2014,Devyn Marble,marblde01,2015
2014,Louis Labeyrie,labeylo01,2015
2014,Jordan McRae,mcraejo01,2015
2014,Xavier Thames,thamexa01,2015
2014,Cory Jefferson,jeffeco01,2015
