draft_year,player,player_id,rookie_season
2007,Greg Oden,odengr01,2008
2007,Kevin Durant,duranke01,2008
2007,Al Horford,horfoal01,2008
2007,Mike Conley,conlemi01,2008
2007,Jeff Green,greenje02,2008
2007,Yi Jianlian,jianlyi01,2008
2007,Corey Brewer,breweco01,2008
2007,Brandan Wright,wrighbr03,2008
2007,Joakim Noah,noahjo01,2008
2007,Spencer Hawes,hawessp01,2008
2007,Acie Law,lawac01,2008
2007,Thaddeus Young,youngth01,2008
2007,Julian Wright,wrighju01,2008
2007,Al Thornton,thornal01,2008
2007,Rodney Stuckey,stuckro01,2008
2007,Nick Young,youngni01,2008
2007,Sean Williams,willise01,2008
2007,Marco Belinelli,belinma01,2008
2007,Javaris Crittenton,crittja01,2008
2007,Jason Smith,smithja02,2008
2007,Daequan Cook,cookda02,2008
2007,Jared Dudley,dudleja01,2008
2007,Wilson Chandler,chandwi01,2008
2007,Rudy Fernández,fernaru01,2008
2007,Morris Almond,almonmo01,2008
2007,Aaron Brooks,brookaa01,2008
2007,Arron Afflalo,afflaar01,2008
2007,Tiago Splitter,splitti01,2008
2007,Alando Tucker,tuckeal02,2008
2007,Petteri Koponen,koponpe01,2008
2007,Carl Landry,landrca01,2008
2007,Gabe Pruitt,pruitga01,2008
2007,Marcus Williams,willima04,2008
2007,Nick Fazekas,fazekni01,2008
2007,Glen Davis,davisgl01,2008
2007,Jermareo Davidson,davidje01,2008
2007,Josh McRoberts,mcrobjo01,2008
2007,Kyrylo Fesenko,fesenky01,2008
2007,Stanko Barać,baracst01,2008
2007,Sun Yue,yuesu01,2008
2007,Chris Richard,richach01,2008
2007,Derrick Byars,byarsde01,2008
2007,Adam Haluska,halusad02,2008
2007,Reyshawn Terry,terryre01,2008
2007,Jared Jordan,jordaja01,2008
2007,Stéphane Lasme,lasmest01,2008
2007,Dominic McGuire,mcguido01,2008
2007,Marc Gasol,gasolma01,2008
2007,Aaron Gray,grayaa01,2008
2007,Renaldas Seibutis,seibure01,2008
2007,JamesOn Curry,curryja01,2008
2007,Taurean Green,greenta01,2008
2007,Demetris Nichols,nichode01,2008
2007,Brad Newley,newlebr01,2008
2007,Herbert Hill,hillhe02,2008
2007,Ramon Sessions,sessira01,2008
2007,Sammy Mejia,mejiasa01,2008
2007,Georgios Printezis,printgi01,2008
2007,D.J. Strawberry,strawdj01,2008
2007,Milovan Raković,rakovmi01,2008
