draft_year,player,player_id,rookie_season
2020,Anthony Edwards,edwaran01,2021
2020,James Wiseman,wisemja01,2021
2020,LaMelo Ball,ballla01,2021
2020,Patrick Williams,willipa01,2021
2020,Isaac Okoro,okorois01,2021
2020,Onyeka Okongwu,okongon01,2021
2020,Killian Hayes,hayeski01,2021
2020,Obi Toppin,toppiob01,2021
2020,Deni Avdija,avdijde01,2021
2020,Jalen Smith,smithja04,2021
2020,Devin Vassell,vassede01,2021
2020,Tyrese Haliburton,halibty01,2021
2020,Kira Lewis Jr.,lewiski01,2021
2020,Aaron Nesmith,nesmiaa01,2021
2020,Cole Anthony,anthoco01,2021
2020,Isaiah Stewart,stewais01,2021
2020,Aleksej Pokusevski,pokusal01,2021
2020,Josh Green,greenjo02,2021
2020,Saddiq Bey,beysa01,2021
2020,Precious Achiuwa,achiupr01,2021
2020,Tyrese Maxey,maxeyty01,2021
2020,Zeke Nnaji,nnajize01,2021
2020,Leandro Bolmaro,bolmale01,2021
2020,R.J. Hampton,hamptrj01,2021
2020,Immanuel Quickley,quickim01,2021
2020,Payton Pritchard,pritcpa01,2021
2020,Udoka Azubuike,azubuud01,2021
2020,Jaden McDaniels,mcdanja02,2021
2020,Malachi Flynn,flynnma01,2021
2020,Desmond Bane,banede01,2021
2020,Tyrell Terry,terryty01,2021
2020,Vernon Carey Jr.,careyve01,2021
2020,Daniel Oturu,oturuda01,2021
2020,Théo Maledon,maledth01,2021
2020,Xavier Tillman Sr.,tillmxa01,2021
2020,Tyler Bey,beyty01,2021
2020,Vit Krejci,krejcvi01,2021
2020,Saben Lee,leesa01,2021
2020,Elijah Hughes,hugheel01,2021
2020,Robert Woodard II,woodaro01,2021
2020,Tre Jones,jonestr01,2021
2020,Nick Richards,richani01,2021
2020,Jahmi'us Ramsey,ramseja01,2021
2020,Marko Simonovic,simonma01,2021
2020,Jordan Nwora,nworajo01,2021
2020,CJ Elleby,ellebcj01,2021
2020,Yam Madar,madarya01,2021
2020,Nico Mannion,mannini01,2021
2020,Isaiah Joe,joeis01,2021
2020,Skylar Mays,mayssk01,2021
2020,Justinian Jessup,jessuju01,2021
2020,KJ Martin,martike04,2021
2020,Cassius Winston,winstca01,2021
2020,Cassius Stanley,stanlca01,2021
2020,Jay Scrubb,scrubja01,2021
2020,Grant Riller,rillegr01,2021
2020,Reggie Perry,perryre01,2021
2020,Paul Reed,reedpa01,2021
2020,Jalen Harris,harrija01,2021
2020,Sam Merrill,merrisa01,2021
