draft_year,player,player_id,rookie_season
2002,Yao Ming,mingya01,2003
2002,Jay Williams,willija03,2003
2002,Mike Dunleavy,dunlemi02,2003
2002,Drew Gooden,goodedr01,2003
2002,Nikoloz Tskitishvili,tskitni01,2003
2002,Dajuan Wagner,wagneda02,2003
2002,Nenê,hilarne01,2003
2002,Chris Wilcox,wilcoch01,2003
2002,Amar'e Stoudemire,stoudam01,2003
2002,Caron Butler,butleca01,2003
2002,Jared Jeffries,jeffrja01,2003
2002,Melvin Ely,elyme01,2003
2002,Marcus Haislip,haislma01,2003
2002,Fred Jones,jonesfr01,2003
2002,Boštjan Nachbar,nachbbo01,2003
2002,Jiří Welsch,welscji01,2003
2002,Juan Dixon,dixonju01,2003
2002,Curtis Borchardt,borchcu01,2003
2002,Ryan Humphrey,humphry01,2003
2002,Kareem Rush,rushka01,2003
2002,Qyntel Woods,woodsqy01,2003
2002,Casey Jacobsen,jacobca01,2003
2002,Tayshaun Prince,princta01,2003
2002,Nenad Krstić,krstine01,2003
2002,Frank Williams,willifr02,2003
2002,John Salmons,salmojo01,2003
2002,Chris Jefferies,jeffech01,2003
2002,Dan Dickau,dickada01,2003
2002,Round 2,,2003
2002,Player,,2003
2002,Steve Logan,loganst01,2003
2002,Roger Mason,masonro01,2003
2002,Robert Archibald,archiro01,2003
2002,Vincent Yarbrough,yarbrvi01,2003
2002,Dan Gadzuric,gadzuda01,2003
2002,Carlos Boozer,boozeca01,2003
2002,Milos Vujanic,vujanmi01,2003
2002,David Andersen,anderda03,2003
2002,Tito Maddox,maddoti01,2003
2002,Rod Grizzard,grizzro01,2003
2002,Juan Carlos Navarro,navarju01,2003
2002,Mario Kasun,kasunma01,2003
2002,Ronald Murray,murraro01,2003
2002,Jason Jennings,jennija01,2003
2002,Lonny Baxter,baxtelo01,2003
2002,Sam Clancy,clancsa02,2003
2002,Matt Barnes,barnema02,2003
2002,Jamal Sampson,sampsja01,2003
2002,Chris Owens,owensch01,2003
2002,Peter Fehse,fehsepe01,2003
2002,Darius Songaila,songada01,2003
2002,Federico Kammerichs,kammefe01,2003
2002,Marcus Taylor,tayloma03,2003
2002,Rasual Butler,butlera01,2003
2002,Tamar Slay,slayta01,2003
2002,Mladen Sekularac,sekulml01,2003
2002,Luis Scola,scolalu01,2003
2002,Randy Holcomb,holcora01,2003
2002,Corsley Edwards,edwarco01,2003
