draft_year,player,player_id,rookie_season
2003,LeBron James,jamesle01,2004
2003,Darko Miličić,milicda01,2004
2003,Carmelo Anthony,anthoca01,2004
2003,Chris Bosh,boshch01,2004
2003,Dwyane Wade,wadedw01,2004
2003,Chris Kaman,kamanch01,2004
2003,Kirk Hinrich,hinriki01,2004
2003,T.J. Ford,fordtj01,2004
2003,Mike Sweetney,sweetmi01,2004
2003,Jarvis Hayes,hayesja01,2004
2003,Mickaël Piétrus,pietrmi01,2004
2003,Nick Collison,collini01,2004
2003,Marcus Banks,banksma01,2004
2003,Luke Ridnour,ridnolu01,2004
2003,Reece Gaines,gainere01,2004
2003,Troy Bell,belltr01,2004
2003,Žarko Čabarkapa,cabarza01,2004
2003,David West,westda01,2004
2003,Sasha Pavlović,pavloal01,2004
2003,Dahntay Jones,jonesda02,2004
2003,Boris Diaw,diawbo01,2004
2003,Zoran Planinić,planizo01,2004
2003,Travis Outlaw,outlatr01,2004
2003,Brian Cook,cookbr01,2004
2003,Carlos Delfino,delfica01,2004
2003,Ndudi Ebi,ebind01,2004
2003,Kendrick Perkins,perkike01,2004
2003,Leandro Barbosa,barbole01,2004
2003,Josh Howard,howarjo01,2004
2003,Round 2,,2004
2003,Player,,2004
2003,Maciej Lampe,lampema01,2004
2003,Jason Kapono,kaponja01,2004
2003,Luke Walton,waltolu01,2004
2003,Jerome Beasley,beaslje01,2004
2003,Sofoklis Schortsanitis,schorso01,2004
2003,Szymon Szewczyk,szewcsz01,2004
2003,Mario Austin,austima01,2004
2003,Travis Hansen,hansetr01,2004
2003,Steve Blake,blakest01,2004
2003,Slavko Vraneš,vranesl01,2004
2003,Derrick Zimmerman,zimmede01,2004
2003,Willie Green,greenwi01,2004
2003,Zaza Pachulia,pachuza01,2004
2003,Keith Bogans,boganke01,2004
2003,Malick Badiane,badiama01,2004
2003,Matt Bonner,bonnema01,2004
2003,Sani Bečirovič,becirsa01,2004
2003,Mo Williams,willima01,2004
2003,James Lang,langja01,2004
2003,James Jones,jonesja02,2004
2003,Paccelis Morlende,morlepa01,2004
2003,Kyle Korver,korveky01,2004
2003,Remon van de Hare,vandera01,2004
2003,Tommy Smith,smithto03,2004
2003,Nedžad Sinanović,sinanne01,2004
2003,Rick Rickert,rickeri01,2004
2003,Brandon Hunter,huntebr01,2004
2003,Xue Yuyang,yuyanxu01,2004
2003,Andreas Glyniadakis,glynian01,2004
