draft_year,player,player_id,rookie_season
2025,Cooper Flagg,flaggco01,2026
2025,Dylan Harper,harpedy01,2026
2025,VJ Edgecombe,edgecvj01,2026
2025,Kon Knueppel,knuepko01,2026
2025,Ace Bailey,baileac01,2026
2025,Tre Johnson,johnstr03,2026
2025,Jeremiah Fears,fearsje01,2026
2025,Egor Dёmin,demineg01,2026
2025,Collin Murray-Boyles,murraco01,2026
2025,Khaman Maluach,maluakh01,2026
2025,Cedric Coward,cowarce01,2026
2025,Noa Essengue,essenno01,2026
2025,Derik Queen,queende01,2026
2025,Carter Bryant,bryanca01,2026
2025,Thomas Sorber,sorbeth01,2026
2025,Yang Hansen,yangha01,2026
2025,Joan Beringer,berinjo01,2026
2025,Walter Clayton,claytwa01,2026
2025,Nolan Traoré,traorno01,2026
2025,Kasparas Jakučionis,jakucka01,2026
2025,Will Riley,rileywi01,2026
2025,Drake Powell,poweldr01,2026
2025,Asa Newell,newelas01,2026
2025,Nique Clifford,cliffni01,2026
2025,Jase Richardson,richaja02,2026
2025,Ben Saraf,sarafbe01,2026
2025,Danny Wolf,wolfda01,2026
2025,Hugo González,gonzahu01,2026
2025,Liam McNeeley,mcneeli01,2026
2025,Yanic Konan Niederhäuser,konanya01,2026
2025,Rasheer Fleming,flemira01,2026
2025,Noah Penda,pendano01,2026
2025,Sion James,jamessi01,2026
2025,Ryan Kalkbrenner,kalkbry01,2026
2025,Johni Broome,broomjo01,2026
2025,Adou Thiero,thierad01,2026
2025,Chaz Lanier,laniech01,2026
2025,Kam Jones,joneska03,2026
2025,Alijah Martin,martial01,2026
2025,Micah Peavy,peavymi01,2026
2025,Koby Brea,breako01,2026
2025,Maxime Raynaud,raynama01,2026
2025,Jamir Watkins,watkija01,2026
2025,Brooks Barnhizer,barnhbr01,2026
2025,Rocco Zikarsky,zikarro01,2026
2025,Amari Williams,william01,2026
2025,Bogoljub Markovic,markobo01,2026
2025,Javon Small,smallja01,2026
2025,Tyrese Proctor,proctty01,2026
2025,Kobe Sanders,sandeko01,2026
2025,Mohamed Diawara,diawamo01,2026
2025,Alex Toohey,tooheal01,2026
2025,John Tonje,tonjejo01,2026
2025,Taelon Peter,peterta01,2026
2025,Lachlan Olbrich,olbrila01,2026
2025,Will Richard,richawi02,2026
2025,Max Shulga,shulgma01,2026
2025,Saliou Niang,niangsa01,2026
2025,Jahmai Mashack,mashaja01,2026
